 ,Label,Area,IntDen,RawIntDen
1,180911_sedimentation_GABFAB-700.tif:0265-0701,0.082,42.943,149722
2,180911_sedimentation_GABFAB-700.tif:0249-0703,0.082,34.627,120731
3,180911_sedimentation_GABFAB-700.tif:0263-0733,0.082,45.165,157472
4,180911_sedimentation_GABFAB-700.tif:0250-0734,0.082,33.766,117728
5,180911_sedimentation_GABFAB-700.tif:0262-0768,0.082,65.314,227721
6,180911_sedimentation_GABFAB-700.tif:0245-0768,0.082,34.434,120056
7,180911_sedimentation_GABFAB-700.tif:0261-0803,0.082,50.445,175880
8,180911_sedimentation_GABFAB-700.tif:0242-0803,0.082,34.118,118954
9,180911_sedimentation_GABFAB-700.tif:0261-0838,0.082,52.185,181946
10,180911_sedimentation_GABFAB-700.tif:0247-0838,0.082,33.440,116590
11,180911_sedimentation_GABFAB-700.tif:0262-0874,0.082,50.171,174926
12,180911_sedimentation_GABFAB-700.tif:0248-0874,0.082,33.413,116498
13,180911_sedimentation_GABFAB-700.tif:0263-0907,0.082,49.237,171667
14,180911_sedimentation_GABFAB-700.tif:0241-0908,0.082,39.085,136274
15,180911_sedimentation_GABFAB-700.tif:0267-0942,0.082,50.204,175040
16,180911_sedimentation_GABFAB-700.tif:0244-0943,0.082,36.145,126022
17,180911_sedimentation_GABFAB-700.tif:0140-0698,0.211,94.909,330907
18,180911_sedimentation_GABFAB-700.tif:0178-0697,0.211,87.861,306332
19,180911_sedimentation_GABFAB-700.tif:0137-0733,0.211,93.157,324797
20,180911_sedimentation_GABFAB-700.tif:0161-0733,0.211,85.632,298563
21,180911_sedimentation_GABFAB-700.tif:0138-0770,0.211,1650.851,5755799
22,180911_sedimentation_GABFAB-700.tif:0205-0769,0.211,83.148,289901
23,180911_sedimentation_GABFAB-700.tif:0139-0805,0.211,1644.376,5733226
24,180911_sedimentation_GABFAB-700.tif:0185-0804,0.211,95.083,331513
25,180911_sedimentation_GABFAB-700.tif:0139-0840,0.211,1672.998,5833017
26,180911_sedimentation_GABFAB-700.tif:0183-0840,0.211,91.772,319968
27,180911_sedimentation_GABFAB-700.tif:0140-0875,0.211,1600.510,5580282
28,180911_sedimentation_GABFAB-700.tif:0195-0872,0.211,89.702,312752
29,180911_sedimentation_GABFAB-700.tif:0140-0910,0.211,1417.798,4943247
30,180911_sedimentation_GABFAB-700.tif:0206-0910,0.211,87.504,305088
31,180911_sedimentation_GABFAB-700.tif:0140-0945,0.211,1635.050,5700708
32,180911_sedimentation_GABFAB-700.tif:0205-0943,0.211,86.942,303129
